ogc_fid,m_per_year,aquifer,broader
378,-0.03162713,Ribstone C,Bearpaw-Ju
379,-0.06739248,Northeaste,Bearpaw-Ju
380,-0.05315379,Meacham Aq,-
381,-0.03683097,Hatfield V,-
382,-0.01403571,Assiniboin,-
383,-0.03796212,Riding Mou,-
384,-0.03154762,Southern O,-
385,-0.00522,Transbound,-
566,0.03604365,Cubeta de,-
386,-0.05133929,Dauphin La,Manitoba C
387,-0.03055556,Interlake,Manitoba C
567,0.00142094,Huerva-Per,-
388,-0.03011111,Interlake,Manitoba C
389,0.00260119,Carman San,Manitoba C
390,-0.01083916,Southern C,Manitoba C
391,-0.00666667,Sandlands,-
392,0.04985577,Winkler Al,-
393,-0.0155,Silurian a,Southern O
394,0.02377778,Essex Clay,Southern O
568,0.10571429,Requena-Ut,-
395,-0.02,Niagara Pe,Southern O
718,0.02901042,Kavir Haj,-
396,-0.02641667,Devonian a,Southern O
397,0.393125,Aguascalie,-
398,-0.16333333,Comarca La,-
399,-0.03055556,Napanee Li,-
569,0.43308036,Serranias,-
400,0.01342857,New Brunsw,Maritimes
401,0.04227917,Cumberland,Maritimes
402,-9.9755E-4,Saint Mary,Maritimes
403,-0.001175,Stellarton,Maritimes
404,0.00832252,Antigonish,Maritimes
405,0.02258555,Central Ca,Maritimes
406,-0.01093024,Sydney Mar,Maritimes
407,-0.02506233,Western Ca,Maritimes
570,-0.04754968,Baza Basin,-
408,-0.00183333,Western Pr,Prince Edw
409,-0.03265909,Central Pr,Prince Edw
410,-0.01817781,Eastern Pr,Prince Edw
411,0.94,Ojos Negro,-
412,0.0117346,Mexicali V,-
571,0.39444444,Campos de,-
413,0.09573485,La Paz Coa,La Paz Bas
414,-0.033125,Upper La P,La Paz Bas
415,0.00416667,Viscaino A,-
416,0.19652778,Santo Domi,-
417,0.35666667,San Jose d,-
418,0.115625,Santiago C,-
419,-0.07666667,Mulege Aqu,-
420,-0.2875,Costa de H,-
421,0.08796266,El Sahuara,-
422,0.30410256,Rio Zanjon,-
423,0.09643939,Guaymas Va,-
424,-0.09247596,Yaqui Vall,-
425,0.6925,Coastal Ca,Caborca Aq
426,0.31105952,Central Ca,Caborca Aq
427,0.15982143,Southern Z,Gulf Coast
428,2.3322619,Monterrey,-
429,0.53875028,Valle de C,-
430,0.1578125,El Llano B,-
431,0.18166667,Mazapil an,-
432,1.0103125,Calera Aqu,-
433,0.08728632,Tepalcingo,-
434,0.01428571,Cuernavaca,-
435,0.02583333,Cuautla-Ya,-
436,-0.17,Tlacolula,Central Va
437,0.03541667,Zaachila V,Central Va
438,-0.05000758,Etla Valle,Central Va
439,-0.01619048,Tehuantepe,-
440,0.11527273,Ostuta Aqu,-
441,-0.0315,Actopan Aq,Coastal Pl
442,-0.03958333,Orizaba Ba,Orizaba-Co
443,0.0235,Cordoba Ba,Orizaba-Co
444,-0.0425,Los Naranj,Coastal Pl
572,0.18,Almanzora,-
573,-1.99125,Ganuelas-M,-
445,0.05746429,Papaloapan,Coastal Pl
446,-0.01434343,Coatzacoal,Coastal Pl
447,-5.303E-4,Chicxulub,Yucatan Pe
448,-0.0195,Holbox Fra,Yucatan Pe
449,-0.01333333,Pockmarked,Yucatan Pe
450,-0.04576923,Northern P,Yucatan Pe
451,0.01675,Western Ka,Yucatan Pe
452,-0.01464394,Rio Mocori,-
453,0.03118056,Rio Sinalo,-
454,-0.01443429,Rio Fuerte,-
455,-0.01069444,Upper Rio,-
