Table 5,Characterization factors of the subbasins,Unnamed: 2,Unnamed: 3
,,,
HUC8 ID,Subbasin,Scaled Power Consumption (MWh),Characterization factor
1090002,Cape Cod,63990.03456678929,0.23412384297450187
1090003,Blackstone,28044.40915665611,0.2525625906499535
1090004,Narragansett,89284.77858989572,0.2255812438067623
1090005,Pawcatuck-Wood,17771.076553268016,0.2336603081838728
1100001,Quinebaug,14158.5373892931,0.24334683764534837
1100002,Shetucket,16655.57698662888,0.10129656541924725
1100003,Thames,14607.871626272727,0.1
1100004,Quinnipiac,52818.399509336894,0.22452201036786384
1100005,Housatonic,64752.36732499827,0.24455937648217854
1100006,Saugatuck,89361.49175876525,0.2207093074602438
1110000,St. Francois,2656.27142086717,0.2490364234519069
2010001,Lake George,3548.662601432927,0.31146079672632204
2010002,Otter,3818.390137235795,0.26465438013858517
2010003,Winooski,8225.089832627911,0.254343834373978
2010004,Ausable,1830.500501125485,0.2880870718425878
2010005,Lamoille,5823.6400687325395,0.24242344847067457
2010006,Great Chazy-Saranac,1830.500501125485,0.3015950028574488
2010007,Missiquoi,6328.214294322547,0.24423124648303696
2010008,Lake Champlain,16258.294102594164,0.11274042946265021
2020001,Upper Hudson,4324.874348827468,0.24778800962829425
2020002,Sacandaga,3372.963019683551,0.22133931237533105
2020003,Hudson-Hoosic,27928.841693530212,0.1
2020004,Mohawk,31810.359165554186,0.18904651951715906
2020005,Schoharie,16284.881881409367,0.31886435223280124
2020006,Middle Hudson,62746.28658595676,0.1
2020007,Rondout,35470.982527976026,0.279809776261969
2020008,Hudson-Wappinger,34548.00373361474,0.1
2030101,Lower Hudson,920018.8729905766,0.1
2030102,Bronx,148356.54466853174,0.1
2030103,Hackensack-Passaic,1218078.0177730045,0.2424354359284789
2030104,0,273542.62924837164,0.1
2030105,Raritan,602669.623622852,0.2280444279306486
2030201,Northern Long Island,88571.06647229247,0.3034913210854786
2030202,Southern Long Island,413337.0299074972,0.2909749220535196
2030203,0,0,0.2911346107653179
2040101,Upper Delaware,6227.942695702259,0.16157090068321597
2040102,East Branch Delaware,2562.7007500424747,0.26004929074404126
2040103,Lackawaxen,13032.124032246535,0.26653823469763205
2040104,Middle Delaware-Mongaup-Brodhead,34681.36674636419,0.1
