Program,Year,Period,Geo Level,State,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2023,YEAR,STATE,NEVADA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"28,028",82.9
CENSUS,2023,YEAR,STATE,NEW JERSEY,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"4,046",42.5
CENSUS,2023,YEAR,STATE,NEW MEXICO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,413,84.0
CENSUS,2023,YEAR,STATE,NEW MEXICO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,192,97.4
CENSUS,2023,YEAR,STATE,NEW YORK,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,108,84.1
CENSUS,2023,YEAR,STATE,NEW YORK,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,36,67.4
CENSUS,2023,YEAR,STATE,NEW YORK,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,261,61.5
CENSUS,2023,YEAR,STATE,NORTH CAROLINA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"23,990",96.6
CENSUS,2023,YEAR,STATE,NORTH CAROLINA,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"6,228",40.0
CENSUS,2023,YEAR,STATE,NORTH CAROLINA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"9,518",22.8
CENSUS,2023,YEAR,STATE,NORTH DAKOTA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,137,99.3
CENSUS,2023,YEAR,STATE,OHIO,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,647,51.2
CENSUS,2023,YEAR,STATE,OHIO,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"3,688",45.9
CENSUS,2023,YEAR,STATE,OHIO,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"2,279",72.8
CENSUS,2023,YEAR,STATE,OREGON,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"14,818",45.8
CENSUS,2023,YEAR,STATE,OREGON,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"18,107",47.1
CENSUS,2023,YEAR,STATE,OREGON,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"13,209",31.9
CENSUS,2023,YEAR,STATE,PENNSYLVANIA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,132,62.2
CENSUS,2023,YEAR,STATE,TENNESSEE,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,92,81.4
CENSUS,2023,YEAR,STATE,TEXAS,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"51,967",75.9
CENSUS,2023,YEAR,STATE,TEXAS,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"75,507",86.4
CENSUS,2023,YEAR,STATE,TEXAS,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"37,147",47.4
CENSUS,2023,YEAR,STATE,UTAH,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"55,829",96.6
CENSUS,2023,YEAR,STATE,UTAH,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"10,505",44.5
CENSUS,2023,YEAR,STATE,UTAH,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"10,136",82.1
CENSUS,2023,YEAR,STATE,VIRGINIA,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,24,75.5
CENSUS,2023,YEAR,STATE,VIRGINIA,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,451,58.4
CENSUS,2023,YEAR,STATE,WASHINGTON,"WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET",TOTAL,NOT SPECIFIED,"19,496",56.5
CENSUS,2023,YEAR,STATE,WASHINGTON,"WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"37,747",53.3
CENSUS,2023,YEAR,STATE,WASHINGTON,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"23,396",84.6
CENSUS,2023,YEAR,STATE,WISCONSIN,"WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED",TOTAL,NOT SPECIFIED,"14,637",29.5
