"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Data Item","Domain","Domain Category","Value","CV (%)"
"CENSUS","2023","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MASSACHUSETTS","25","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","6,094","27.5"
"CENSUS","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","859","64.0"
"CENSUS","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","3,700","66.9"
"CENSUS","2023","YEAR","","STATE","MICHIGAN","26","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","820","96.0"
"CENSUS","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MINNESOTA","27","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,079","67.1"
"CENSUS","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","3","99.1"
"CENSUS","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","3","99.1"
"CENSUS","2023","YEAR","","STATE","MISSISSIPPI","28","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","24,065","48.4"
"CENSUS","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","258","52.0"
"CENSUS","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","1,444","80.5"
"CENSUS","2023","YEAR","","STATE","MISSOURI","29","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","7,306","94.4"
"CENSUS","2023","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","710","83.6"
"CENSUS","2023","YEAR","","STATE","MONTANA","30","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","18,823","54.4"
"CENSUS","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED","12,888","74.1"
"CENSUS","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","28,123","64.3"
"CENSUS","2023","YEAR","","STATE","NEBRASKA","31","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","27,600","67.0"
"CENSUS","2023","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED - WATER APPLIED, MEASURED IN ACRE FEET","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECLAIMED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED"," (D)","(D)"
"CENSUS","2023","YEAR","","STATE","NEVADA","32","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","28,028","82.9"
"CENSUS","2023","YEAR","","STATE","NEW HAMPSHIRE","33","","","","","","","00000000","","WATER","WATER, IRRIGATION, RECYCLED, IN THE OPEN - ACRES IRRIGATED","TOTAL","NOT SPECIFIED","160","(H)"
